"Sr.No.","Book Title","Language","Edition","Author/Editor","ISBN Number","Year","View Details"
"1","Kuzhanthaigaluku ethirana Paliyal Kuttrangalum Pocso sattamum- Kuzhanthaigal Pathukappu Vilakka Kaiyedu","Tamil","","K.Samidurai","978-93-95137-99-7","2025","Details"
"2","Sovereign","English","","S. Gomathy,  Susilavictor,  Vanitha Jeyakumari V, Malathy V. P.","978-93-95137-29-4","2025","Details"
"3","International Conference on Integrating Indian Knowledge Systems (IKS) with Cutting-Edge Biotechnology and Innovative Technologies to Achieve Sustainable Development Goals (ICONIKS-BIOTECH 2025)","English","","Dr. M.N.Kathiravan, Dr.P.Arun, Dr.P.Chidambara Rajan","978-93-95137-30-0","2025","Details"
"4","Kasakkum Sarkkarai inikkum Marunthu","Tamil","","Dr. R.Sharmila","978-93-95137-68-3","2025","Details"
"5","A Natural Path to PCOS Wellness","English","","R. JEBAL, R.Sharmila","978-93-95137-21-8","2025","Details"
"6","Eduthuraipiyal (Research Article)","English","","A.Balakrishnan","978-93-95137-89-8","2025","Details"
"7","A Compendious Handbook of Literary Forms: Mastering Genres, Styles and Structures","English","","Dr. M. PRADEEPA,  Dr.P.CHITRA","978-93-95137-97-3","2025","Details"
"8","Siruvar Ilakkiyankalil Ariviyalum Maruthuvamum","Tamil","","Dr.A.Prasanth","978-93-95137-64-5","2025","Details"
"9","Introduction to Blockchain","English","","M.Vinod Kumar, N.Sriram","978-93-95137-70-6","2025","Details"
"10","Aayiram Haiku","Tamil","","Easwaran K.","978-93-95137-92-8","2025","Details"
"11","ARIVUKU VELICHAM","Tamil","","Dr.S.MUNIYASAMY","978-93-95137-18-8","2025","Details"
"12","VASIPPU THIRUVIZHA","Tamil","","Dr.S.MUNIYASAMY","978-93-95137-19-5","2025","Details"
"13","Fundamentals of Insurance","English","","Dr. S. Manikandan, Dr. A. Myilsamy","978-93-95137-65-2","2025","Details"
"14","wo-Day International Symposium on “Ageing and Age-Related Disorders” Organizing Secretaries","English","","Dr. S. Velayuthaprabhu, ⁠Dr. M. A. Shibu","978-93-95137-42-3","2025","Details"
"15","ULAMANTHAI NITHANAM MEDICINE MANUSCRIPT","Tamil","","EASWARAN K","978-93-95137-45-4","2025","Details"
"16","Sanga Ilakkiya Auvaiyar Patalkalil Ariviyal","Tamil","","R. Loganathan","978-93-95137-31-7","2025","Details"
"17","Moondru Mahaangalin Muthukkal (Dohas of Kabir, Dadu Dayal, and Rahim)","Tamil","","Dr. K. Shantichitra","978-93-95137-71-3","2024","Details"
"18","Mastering Deep Learning: Theory, Techniques, and Applications","English","","Dr.D.Kalaivani, Ms.S.Ramya","978-93-95137-16-4","2024","Details"
