"Sr.No.","Book Title","Language","Edition","Author/Editor","ISBN Number","Year","View Details"
"1","MOBILE COMPUTING","English","1","P.R.PAMEELA RANI, A.LAVANYA, G.YASHODHA","978-81-938982-9-1","2018","Details"
"2","MICRO FINANCE","English","1","R.Kanchana, V.Suganya, G.Kowsalya Devi","978-81-938982-8-4","2018","Details"
"3","DATA MINING CONCEPTS AND ITS APPLICATIONS","English","1","M.USHA, V.LOGANAYAKI, J.GAYATHRI","978-81-938982-7-7","2018","Details"
"4","COMPANY LAW AND SECRETARIAL PRACTICE","English","1","B. KARTHIKEYAN, P. ASHOK, D. MYTHILI","978-81-938982-6-0","2018","Details"
"5","BUSINESS MATHEMATICS","English","1","J.NIRMALA, N.RAJA, Y.PREETHI CEON","978-81-938982-5-3","2018","Details"
"6","Madurai kaanjiyin Maanagar Madurai","Tamil","1","A.Balakirshnan","978-81-938982-4-6","2018","Details"
"7","Sanga Ilakkiya  Katturai  Kathampam","Tamil","1","Dr.G.Jagadeeswari","978-81-938982-3-9","2018","Details"
"8","THEDAL","Tamil","1","S.MUNIYASAMY","978-81-938982-2-2","2018","Details"
"9","MIIKKOTPADU THOLKAAPPIYA MULAMUM URAIYUM","Tamil","1","DR.T.SATHIYARAJ","978-81-938982-1-5","2018","Details"
"10","He is mine Remembering the teacher Memorandum of School Students for College Students","Tamil","1","M.MUNEESMOORTHY","978-81-938982-0-8","2018","Details"
