"Sr.No.","Book Title","Language","Edition","Author/Editor","ISBN Number","Year","View Details"
"1","Aram Thirukkuralum Manutharumamum","Tamil","1","Dr.M.Uma Maheshwari","978-81-943402-2-5","2019","Details"
"2","Thedal","Tamil","1","M.Mangai","978-81-943402-3-2","2020","Details"
"3","Ayvuch Sirparal 2","Tamil","1","Dr.K.S.Paul Chanthiramohan, Dr.S.Samkithiyon, Dr.C.Kalaimikilan, Dr.P.Anand and Dr.R.Rajarajan","978-81-943402-9-4","2020","Details"
"4","Innovative Prospects and Technological Developments in Bio-science","English","1","Department of Biochemistry and Microbiology","978-81-943402-8-7","2020","Details"
"5","ONE MINUTE ELDER","English","1","N.NAVEEN PRAKASH, S.SABANA","978-81-943402-7-0","2020","Details"
"6","National level Conference on Recent Technologies in Computer Science and its Applications Proceedings","English","1","K.Kannan","978-81-943402-6-3","2020","Details"
"7","Ayvuch Siruparal 1","Tamil","1","Dr.K.S.Paul Chanthiramohan, Dr.S.Samkithiyon, Dr.C.Kalaimikilan, Dr.P.Anand and Dr.R.Rajarajan,","978-81-943402-5-6","2020","Details"
"8","Anubavangalin Arthangal","Tamil","1","S.TAMIL SELVAN","978-81-943402-4-9","2020","Details"
"9","An Analysis of ELT Aids","English","1","R. Nithya","978-81-943402-1-8","2019","Details"
"10","BASICS OF R PROGRAMMING LANGUAGE","English","1","S.Vijaya, P.Lavanya, R.Maneendhar","978-81-943402-0-1","2019","Details"
