"Sr.No.","Book Title","Language","Edition","Author/Editor","ISBN Number","Year","View Details"
"35","Tally ERP - 9.0","English","","Dr.K.Vishnupriya, P.Manonmani & D.Prabha","978-93-92293-02-3","2022","Details"
"36","Financial Accounting Package","English","","D.Prabha, Dr.K.Vishnupriya & P.Manonmani","978-93-92293-98-6","2022","Details"
"37","Laboratory Manual for  Physics Practical III Electronics Alone","English","","Preskala  M.Sc., M.Phil.,","978-93-92293-84-9","2022","Details"
"38","Laboratory Manual for Physics Core Practical - II","English","","R. SUVITHA M.Sc., M.Phil., B.Ed.","978-93-92293-76-4","2022","Details"
"39","Laboratory Manual for Allied Physics Practical","English","","P. Mahalakshmi M.Sc., M.Phil., B.Ed.","978-93-92293-99-3","2022","Details"
"40","RAANI THEENI","Tamil","","Dr.S.ANANDHI","978-93-92293-93-1","2022","Details"
"41","KALATHUR KAVITHAIKAL","Tamil","","Dr.S.ANANDHI","978-93-92293-69-6","2022","Details"
"42","Programming Lab - Java","English","","Dr.V.Sathyavathy, V.Nithya","978-93-92293-61-0","2022","Details"
"43","ILAKKIYANKALIL MAN-MARAPU-MANUDAM","Tamil","","Dr.B.UMARANI, Dr.R.MADHANKUMAR, Dr.R.SURESH","","2022","Details"
"44","ILAKKIYANKALIL MAN-MARAPU-MANUDAM","Tamil","","Dr.B.UMARANI, Dr.R.MADHANKUMAR, Dr.R.SURESH","978-93-92293-56-6","2022","Details"
"45","PC software","English","","Dr.G.Karthiyayini, V.C.Pravenpriyaa, Dr.R.Giftleen","978-93-92293-77-1","2022","Details"
"46","JavaScript Lab","English","","G.Saraniya, N.Sriram","978-93-92293-94-8","2022","Details"
"47","Web Designing Lab","English","","N.Sriram, G.Saraniya","978-93-92293-86-3","2022","Details"
"48","Oracle Lab","English","","V.Balakrishnan, Mr.V.Jeyakumar, V.Jenifer","978-93-92293-65-8","2022","Details"
"49","Tally and Internet Lab","English","","S.Nazirabegum, G.Kowsalyadevi, R.Menaka, Archana kumar","978-93-92293-57-3","2022","Details"
"50","Ms Office Lab","English","","Dr.J.K.Bharath, Dr.R.Kanchana, Dr.R.Perumalsamy","978-93-92293-49-8","2022","Details"
"51","Visual basic lab","English","","V.Jenifer, V.Jeyakumar, V.Balakrishnan","978-93-92293-41-2","2022","Details"
"52","C++ Programming Lab","English","","V.Jeyakumar, V.Balakrishnan, V.Jenifer","978-93-92293-33-7","2022","Details"
"53","Ms Office Lab","English","","Dr.B.Karthikeyan, Dr.R.S.Sripoorni","978-93-92293-25-2","2022","Details"
"54","Tally Lab","English","","Dr.M.Lavanya, S.Shalini","978-93-92293-17-7","2022","Details"
"55","MATLAB","English","","Y.Preethi Ceon,  Dr.V.Krishnaveni","978-93-92293-09-2","2022","Details"
"56","LATEX  Lab","English","","Y.Preethi Ceon,  Dr.S.Sharmila","978-93-92293-01-6","2022","Details"
"57","C++ Programming Lab","English","","Dr.D.Kavitha, G.Priyadarshini, D.Jeya Rani","978-93-92293-84-9","2022","Details"
"58","HTML, XML and JavaScript Lab","English","","P.Suresh Kumar, R.Maneendhar","978-93-92293-76-4","2022","Details"
"59","Internet Basics Lab","English","","Dr.S.Vijaya, P.Lavanya","978-93-92293-99-3","2022","Details"
"60","VB and Oracle Lab","English","","Usha M, Dr.A.Gokilavani","978-93-92293-93-1","2022","Details"
"61","Algorithms and OOPS Lab","English","","Viba Mary J.","978-93-92293-91-7","2022","Details"
"62","Advanced Java Programming Lab","English","","Kalaikannan P.","978-93-92293-90-0","2022","Details"
"63","Data Mining using R Lab","English","","Dr. Gomathi V.V.","978-93-92293-83-2","2022","Details"
"64","Python Programming Lab","English","","Alwin Pinakas James","978-93-92293-82-5","2022","Details"
"65","Java Programming Lab","English","","Kavitha M.","978-93-92293-81-8","2022","Details"
"66","RDBMS Lab","English","","Dr. S. Kanagalakshmi","978-93-92293-80-1","2022","Details"
"67","Graphics and Multimedia Programming Lab","English","","Dr. Gomathi V.V.","978-93-92293-75-7","2022","Details"
"68","Data Structures Lab","English","","Arulselvan A.","978-93-92293-74-0","2022","Details"
"69","Assembly Language Programming Lab","English","","M. Senthil Kumar, D. Antony Pradeesh","978-93-92293-73-3","2022","Details"
"70","Case Tools Lab","English","","Dr.K.S.Maharasan, M.Vinod Kumar, C.B.Pavithra","978-93-92293-72-6","2022","Details"
"71","Web Programming Lab","English","","Dr.D.Kavitha, D.Matilda, Dr.P.Vijaya Kumar","978-93-92293-70-2","2022","Details"
"72","Graphics and Multimedia Programming Lab","English","","R.Romela, N.Karthika, G.Priyadarshini","978-93-92293-69-6","2022","Details"
"73","Graphics and Multimedia Programming Lab","English","","R.Romela, N.Karthika, G.Priyadarshini","978-93-92293-64-1","2022","Details"
"74","C++ Programming Lab","English","","Dr.D.Kavitha, G.Priyadarshini, D.Jeya Rani","978-93-92293-63-4","2022","Details"
"75","Software Testing Lab","English","","D.Sasirega, K.Hemalatha, V.Sureshkumar","978-93-92293-62-7","2022","Details"
"76","Software Project Management Lab","English","","A.P.Christopher, Dr.G.Paramasivam","978-93-92293-61-0","2022","Details"
"77","VB and Oracle Lab","English","","Dr.A.Gokilavani","978-93-92293-56-6","2022","Details"
"78","Linux and Shell Programming Lab","English","","Dr.R.Sarala, R.Aswanandini, J.Poornimha, Dr.P.Selvi","978-93-92293-55-9","2022","Details"
"79","DOT NET Programming Lab","English","","L.Padmavathy, G.Gokilavani","978-93-92293-54-2","2022","Details"
"80","HTML, XML and JavaScript Lab","English","","P.Suresh Kumar, R.Maneendhar","978-93-92293-53-5","2022","Details"
"81","Internet Basics Lab","English","","Dr.S.Vijaya, P.Lavanya","978-93-92293-48-1","2022","Details"
"82","VB and Oracle Lab","English","","Usha.M, Dr.A.Gokilavani","978-93-92293-47-4","2022","Details"
"83","Network Lab","English","","A.Lavanya, P.R.PammelaRani","978-93-92293-46-7","2022","Details"
"84","Network Security and Management Lab","English","","Dr.G.Yashodha, D.Sakthivel","978-93-92293-45-0","2022","Details"
"85","Programming Lab - C","English","","Dr.K.Appathurai,  S.Deepan Kumar,  D.Padmapriya","978-93-92293-40-5","2022","Details"
"86","Electronic Communication Lab","English","","M. Arun Prasad, M. Senthil Kumar","978-93-92293-39-9","2022","Details"
"87","Industrial and Power Electronics Lab","English","","D. Antony Pradeesh, M. Senthil Kumar","978-93-92293-38-2","2022","Details"
"88","Microprocessor and Micro controller Lab","English","","M. Senthil Kumar, S. Karthikeyan","978-93-92293-37-5","2022","Details"
"89","Computer Programming Lab","English","","Dr. S. Vidhya, S.Deepan Kumar","978-93-92293-32-0","2022","Details"
"90","Electronic Circuits, Radio, TV and Instrumentation Lab","English","","M. Arun Prasad, S. Karthikeyan","978-93-92293-31-3","2022","Details"
"91","Digital Electronics Lab","English","","S. Karthikeyan, M. Arun Prasad","978-93-92293-30-6","2022","Details"
"92","Semiconductor Devices Lab","English","","S. Karthikeyan, D. Antony Pradeesh","978-93-92293-24-5","2022","Details"
"93","Basic Electronics Lab","English","","D. Antony Pradeesh, M. Arun Prasad","978-93-92293-16-0","2022","Details"
"94","Allied Chemistry - Lab Manual","English","","Dr.D.Shalini","","2022","Details"
"95","Allied Chemistry - Lab Manual","English","","Dr.D.Shalini","978-93-92293-08-5","2022","Details"
"96","Cell Biology, Bioinstrumentation and Microbiology - Lab Manual","English","","Dr.M.Shanmugavadivu","978-93-92293-00-9","2022","Details"
"97","Genetics and Biochemistry - Lab Manual","English","","Dr.D.Shalini, Dr. B.Sangeetha","978-93-92293-29-0","2022","Details"
"98","Microbial Biotechnology and rDNA Technology - Lab Manual","English","","Dr.M.Shanmugavadivu, Dr.B.Sangeetha","978-93-92293-28-3","2022","Details"
"99","Immunology and Plant Tissue Culture - Lab Manual","English","","Dr.M.Shanmugavadivu, Dr.S.Jayashree","","2022","Details"
"100","Immunology and Plant Tissue Culture - Lab Manual","English","","Dr.M.Shanmugavadivu, Dr.S.Jayashree","978-93-92293-23-8","2022","Details"
"101","PANMUGA NOOKKIL THAMIZHIYAL AAYVUGAL","Tamil","","Dr.K.JEGATHEESHWARI, A.BALAKRISHNAN, A.KARTHICK","978-93-92293-92-4","2022","Details"
"102","PANCHAM THANGI","Tamil","","NEELAN","978-93-92293-22-1","2022","Details"
"103","ANNAI MADI AKARAMADI","Tamil","","DR.P.LAKSHMI","978-93-92293-20-7","2022","Details"
"104","THAMIZH MANAM","Tamil","","DR.S.SAM GIDEON, DR. D.VINOTH ISAC PETER, DR.M.MUNEES MOORTHY, DR.S.KARTHIKEYAN, DR. D.YOGA, D.EDWIN CHARLES","978-93-92293-21-4","2022","Details"
"105","ANNAI MADI AKARAMADI","Tamil","","DR.P.LAKSHMI","","2022","Details"
"106","THAMIZH MANAM","Tamil","","DR.S.SAM GIDEON, DR. D.VINOTH ISAC PETER, DR.M.MUNEES MOORTHY, DR.S.KARTHIKEYAN, DR. D.YOGA, D.EDWIN CHARLES","","2022","Details"
"107","Secret life behind Paw","English","","K.E.Balaji","978-93-92293-15-3","2021","Details"
"108","SELECTED NAMING REACTIONS IN ORGANIC CHEMISTRY","English","","DR. S. K. KULANDAI THERESE","978-93-92293-14-6","2021","Details"
"109","SAHITYA CHINTAN KE VIVIDHA  AAYAM","Hindi","","DR. P. RAJARETNAM","978-93-92293-13-9","2021","Details"
"110","PRINCIPLES OF MANAGEMENT","English","","Dr.P.Ashok, Dr.M.Anandan","978-93-92293-07-8","2021","Details"
"111","PRINCIPLES OF MANAGEMENT","Tamil","","Dr.P.Ashok, Dr.M.Anandan","","2021","Details"
"112","KAVIVANIL SIRAKADIPPOM","Tamil","","R.EZHIL NILAVAN, K.GOKULA PRIYA, R.PREETHI, R. RAVIPRASATH","978-93-92293-12-2","2021","Details"
"113","THIRUMALAI SAMUTHIRAM SEMAKKARUPPU ANNAPUURANI THIRUKKOOYIL KALA AAYVU","Tamil","","D. BALASUBRAMANI","978-93-92293-06-1","2021","Details"
"114","ARAVAANARIN KIIZHKKANAKKU URAI SIRAPPIYALPUKAL","Tamil","","M. Munees Moorthy","978-93-92293-05-4","2021","Details"
"115","Miilparvaiyil K. P. Aravaananin patinen kiizhkkanakku uraikal","Tamil","","M. Munees Moorthy","978-93-92293-05-4","2021","Details"
"116","ILAKKANVIYAL ANUGUMURAIYIL TAMIL GRAMMARS","Tamil","","Dr. T. Sathiyaraj","978-93-92293-04-7","2021","Details"
