"Sr.No.","Book Title","Language","Edition","Author/Editor","ISBN Number","Year","View Details"
"1","Nedunsaalai Thevathaigal","Tamil","","M. Vikram","978-93-92293-85-6","2023","Details"
"2","ENGAL OOR VARALAARU(KARIAPTTIYAI SUTTRIYULLA KIRAMANGAL)","Tamil","","Dr.S.MUNIYASAMY, P.RAMALAKSHMI, A.KARTHIK","978-93-92293-78-8","2023","Details"
"3","CORONAVUM NAANUM (THOGUPPU KATTURAIGAL)","Tamil","","Dr.S.MUNIYASAMY, R. MATHAVAN, R. PONMUTHU RAMALINGAM","978-93-92293-79-5","2023","Details"
"4","Multidisciplinary Research and Innovation","English","","Dr. R. Anuja","978-93-92293-71-9","2023","Details"
"5","THAMIZH MARAPIL URUM SERIUM","Tamil","","M. MUNEES MOORTHY","978-93-92293-67-2","2023","Details"
"6","VAIYATH THLAIMAI KOOL","Tamil","","R. RAVIPRASANTH","978-93-92293-60-3","2023","Details"
"7","MAALIGAI MEEDU AGAZHAAIVU ORU KANNOOTTAM","Tamil","","R. EZHI NILAVAN","978-93-92293-59-7","2023","Details"
"8","ARAI EN 305","Tamil","","SG. MANESA","978-93-92293-68-9","2023","Details"
"9","THAMIZH MARAPIL URUM PERUM","Tamil","","M. MUNEES MOORTHY","","2023","Details"
"10","Fundamentals of Machine Learning","English","","Dr.P.Ramachandran, A.Arulselvan Gnanamonickam","978-93-92293-52-8","2023","Details"
"11","Executive Business Communication","English","","Dr.V.Devaki","978-93-92293-43-6","2023","Details"
"12","SIRUVAR ILAKKIACH CHINTHANAIKAL","Tamil","","Dr.A.PRASANTH","978-93-92293-51-1","2023","Details"
"13","IDATHUKAI KIRUKKAL","Tamil","","ESWARAN K.","978-93-92293-44-3","2023","Details"
"14","NIZHAL VIDUM OLI","Tamil","","A. BALAKRISHNAN","978-93-92293-35-1","2023","Details"
"15","PADIKKATHINGA NANGA PORUPPALLA","Tamil","","Sakthi Kavi Sumathi, J.Chandirapriya, Kavimukil Anuratha, R. Backiyaraj, Yazhamudhan Karthikeyan","978-93-92293-36-8","2023","Details"
"16","The Chola Era society (Gleaned from Mayiladuthurai Inscriptions 945-1260 C.E)","Tamil","","A. Aravalli","978-93-92293-27-6","2022","Details"
"17","Vetrik Kaakitham","Tamil","","S.N.Indhu","978-93-92293-19-1","2022","Details"
"18","Virtual International Conference on Advancements in Bio-science, Bio-prospecting, Bio-medicine and Bio-entrepreneurship ICBSPME-2022","English","","Dr.P.Chitra, K.Madhanasundareswari","978-93-92293-11-5","2022","Details"
"19","Comparative studies in Telugu and Tamil","Telugu","","Dr. Ch. Savithri","978-93-92293-03-0","2022","Details"
"20","Traditional Grammatical Trends (Tamil and Telugu)","Tamil","","Dr. Ch. Savithri","978-93-92293-95-5","2022","Details"
"21","Tholkaappiyam Andra bhaashaa bhushanam","Telugu","","Dr. Ch. Savithri","","2022","Details"
"22","Viithi Naduvee Puththan","Tamil","","S.K. (SATHISH)","978-93-92293-87-0","2022","Details"
"23","Neenthath Theriyatha sila Meenkal","Tamil","","P. Ajith","978-93-92293-66-5","2022","Details"
"24","Wikisource and Tamil NLP","Tamil","","Dr. Sathiyaraj Thangasamy,  R. LOGANATHAN","978-93-92293-58-0","2022","Details"
"25","Wikisource and Tamil NLP","Tamil","","Dr. Sathiyaraj Thangasamy,  R. LOGANATHAN","","2022","Details"
"26","Indian Language Grammars","Tamil","","Dr. Ch. Savithri","978-93-92293-50-4","2022","Details"
"27","Puranaanuuru kaattum kaiyarunilai","English","","Dr.K.JEGATHEESHWARI","978-93-92293-42-9","2022","Details"
"28","Paranaanuuru kaattum kaiyarunilai","English","","Dr.K.JEGATHEESHWARI","","2022","Details"
"29","Proceedings of the Two Day National Level Virtual Conference on Quality Enhancements and Best Practices  in Higher Education Institutions on 8th, 9th April 2022","English","","Dr. J. Priyadharshini","978-93-92293-34-4","2022","Details"
"30","Proceedings of the Two Day National Level Virtual Conference on Quality Enhancements and Best Practices  in Higher Education Institutions on 8th & 9th April 2022","English","","Internal Quality Assurance Cell(IQAC)","","2022","Details"
"31","Laboratory Manual for Allied Physics Practical","English","","P. Mahalakshmi M.Sc., M.Phil., B.Ed.","","2022","Details"
"32","IRATTAI KAAPPIYATHIL AVALA SUVAI","Tamil","","Dr.N.THAMIZHMOZHI","978-93-92293-26-9","2022","Details"
"33","Krishna Agnihothri ke Upanyason me  chitrith naari samasyayen","Hindi","","Dr.A.P.NAGAMUTHUVEL","978-93-92293-18-4","2022","Details"
"34","Ms Office & Internet","English","","P.Manonmani, D.Prabha & Dr.K.Vishnupriya","978-93-92293-10-8","2022","Details"
