"Sr.No.","Book Title","Language","Edition","Author/Editor","ISBN Number","Year","View Details"
"1","Yaadumaaki Ninraai","Tamil","","Dr. M. Mythily","978-81-949786-2-6","2021","Details"
"2","Yaadumaaki Ninraai","Tamil","","Dr. M. Mythily","","2021","Details"
"3","THAMIZHAGA NAVEENA OVIYANGALUM OVIYARKALUM","Tamil","","Dr. S. SENTHAMIZH PAVAI","978-81-949786-3-3","2021","Details"
"4","YATRA OF MUSIC AND DANCE THROUGH AGES","Tamil","","Dr. S. SENTHAMIZH PAVAI","978-81-949786-4-0","2021","Details"
"5","INTRODUCTION TO DATA MINING","English","","Dr.G.Yashodha, B.Jeevithapriya, S.Deepankumar","978-81-949786-5-7","2021","Details"
"6","INTRODUCTION TO COMPUTER NETWORKS","English","","A.Lavanya, P.R.PameelaRani, N.Sowndharya","978-81-949786-9-5","2021","Details"
"7","THE FIRST GRAMMAR OF INDIAN LANGUAGES","Tamil","","Dr. Ch. Savithri","978-81-949786-9-5","2021","Details"
"8","PRINCIPLES OF MANAGEMENT","English","","N. PARAMESSWARI","978-81-949786-7-1","2021","Details"
"9","Python Programming","English","","Dr. S.Vijaya, P.Lavanya, R.Maneendhar","978-81-949786-8-8","2021","Details"
"10","Comparative Study VIZHUTHUGAL","Tamil","","T. Poorani","978-81-949786-7-1","2021","Details"
"11","A Comparative Studies on Telugu - Tamil Articles Uravunilai - Literature - Book review","Tamil","","Dr. A. Eswaran","978-81-949786-6-4","2021","Details"
"12","ENNIL PUTHAINTHAVAN THEEDI","Tamil","","Mrs Moon","978-81-949786-1-9","2020","Details"
"13","Comparative Study Meta Theory Research Meta Theory Traditional Grammar book and Research book","Tamil","-1","Dr.T.Sathiyaraj","978-81-949786-0-2","2020","Details"
